"id","image","is_structure","is_confirmed","name","category_id/id","show_period_date_begin","show_period_date_end","structure_capacity","street","city","country_id/id","mobile","phone","website","facebook","instagram","comment"
"festival_13",,1,,"Les Enfants du Jazz","crm_booking.festival_tag,crm_booking.jazz_tag",2020-07-16,2020-07-28,"sup1k",,"Barcelonette","base.fr",,,"http://www.barcelonnette.com/les-enfants-du-jazz/le-festival.html","https://www.facebook.com/FestivalDesEnfantsDuJazz/",,
"festival_14",,1,,"Terres du Son","crm_booking.festival_tag",2020-07-10,,"sup10k",,"Tours","base.fr",,,"https://www.terresduson.com/","https://www.facebook.com/festivalterresduson/",,
"festival_15",,1,,"Convinvencia","crm_booking.festival_tag",2020-06-30,2020-07-28,"sup1k",,"Toulouse até Montpellier","base.fr",,,"https://convivencia.eu/festival-convivencia/","https://www.facebook.com/ConvivenciaFestival/",,
"festival_16",,1,,"Festival Kokopelli","crm_booking.festival_tag",2020-07-03,2020-07-05,"sup1k",,"Le Mas-d'Azil","base.fr",,,"https://festival-kokopelli.fr/",,,
"festival_17",,1,,"Toulouse D'Été","crm_booking.festival_tag,crm_booking.municipality_tag",2020-07-04,2020-07-28,"sup1k",,"Toulouse","base.fr",,,"https://toulousedete.org","https://www.facebook.com/ToulouseDete/",,
"festival_18",,1,,"Au Foin De La Rue","crm_booking.festival_tag",2020-07-05,,"sup10k",,"St-Denis-de-Gastines","base.fr",,,"https://www.aufoindelarue.com","https://www.facebook.com/aufoindelarue/",,
"festival_19",,1,,"Surgères Brass festival","crm_booking.festival_tag,crm_booking.acoustic_tag",2020-07-16,2020-07-19,"sup5k",,"Surgères","base.fr",,,"http://surgeresbrassfestival.com","https://www.facebook.com/surgeresbrassfestival/",,
"festival_20",,1,,"Calvi on the Rocks","crm_booking.festival_tag,crm_booking.electro_tag",2020-07-05,,"sup10k",,"Calvi","base.fr",,,"http://www.calviontherocks.com","https://www.facebook.com/calviontherocks/",,
"festival_21",,1,,"Musicalarue","crm_booking.festival_tag",2020-08-15,,"sup30k",,"Luxey","base.fr",,,"http://www.musicalarue.com","https://www.facebook.com/musicalarue/",,
"festival_22",,1,,"Dour Festival","crm_booking.festival_tag",2020-07-15,,"sup100k",,"Dour","base.be",,,"https://www.dourfestival.eu/fr/","https://www.facebook.com/dourfestival/",,
"festival_23",,1,,"Plage de Rock","crm_booking.festival_tag",2020-07-16,2020-08-07,"sup10k",,"St-Tropez","base.fr",,,"http://www.plagederock.com","https://www.facebook.com/plagederock/",,
"festival_24",,1,,"Outre Festival","crm_booking.festival_tag",2020-06-28,2020-06-30,"sup1k",,"Wissembourg","base.fr",,,"http://outrefestival.fr/","https://www.facebook.com/outrefestival/",,
